,Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb),Chromatic Number
796,ENZYMES-g326,Cheminformatics,46,192,0.1855,7,0,4.17,-0.02,100,2.17,6,0.305,0.306,3,2,4
797,ENZYMES-g327,Cheminformatics,49,188,0.1599,5,0,3.84,-0.03,73,1.49,5,0.275,0.264,3,2,5
798,ENZYMES-g328,Cheminformatics,27,98,0.2792,5,0,3.63,-0.04,78,2.89,5,0.601,0.582,3,2,5
799,ENZYMES-g329,Cheminformatics,12,44,0.6667,6,0,3.67,-0.1,32,2.67,6,0.575,0.561,3,2,4
800,ENZYMES-g33,Cheminformatics,39,164,0.2213,7,0,4.21,-0.02,121,3.1,7,0.509,0.45,3,2,4
801,ENZYMES-g330,Cheminformatics,14,52,0.5714,7,0,3.71,-0.16,18,1.29,6,0.211,0.273,3,2,3
802,ENZYMES-g331,Cheminformatics,23,96,0.3794,7,0,4.17,-0.03,89,3.87,8,0.599,0.549,3,2,4
803,ENZYMES-g332,Cheminformatics,24,102,0.3696,7,0,4.25,-0.03,101,4.21,9,0.612,0.571,3,2,5
804,ENZYMES-g333,Cheminformatics,33,122,0.2311,5,0,3.7,-0.04,96,2.91,5,0.62,0.578,3,2,5
805,ENZYMES-g334,Cheminformatics,27,102,0.2906,6,0,3.78,-0.03,84,3.11,8,0.588,0.564,3,2,4
806,ENZYMES-g335,Cheminformatics,25,102,0.34,6,0,4.08,-0.03,78,3.12,6,0.556,0.462,3,2,4
807,ENZYMES-g336,Cheminformatics,28,104,0.2751,5,0,3.71,-0.04,73,2.61,6,0.525,0.497,3,2,5
808,ENZYMES-g337,Cheminformatics,28,108,0.2857,6,0,3.86,-0.04,92,3.29,7,0.584,0.561,3,2,5
809,ENZYMES-g338,Cheminformatics,12,44,0.6667,6,0,3.67,-0.09,36,3,6,0.617,0.6,3,2,4
810,ENZYMES-g339,Cheminformatics,26,98,0.3015,5,0,3.77,-0.04,72,2.77,6,0.536,0.514,3,2,4
811,ENZYMES-g34,Cheminformatics,8,28,1,5,0,3.5,-0.12,21,2.63,4,0.621,0.618,3,2,4
812,ENZYMES-g340,Cheminformatics,28,98,0.2593,6,0,3.5,-0.03,62,2.21,7,0.451,0.5,3,2,4
813,ENZYMES-g341,Cheminformatics,28,108,0.2857,5,0,3.86,-0.03,95,3.39,7,0.618,0.594,3,2,5
814,ENZYMES-g342,Cheminformatics,26,98,0.3015,5,0,3.77,-0.04,69,2.65,6,0.513,0.493,3,2,4
815,ENZYMES-g343,Cheminformatics,24,90,0.3261,5,0,3.75,-0.04,72,3,6,0.577,0.576,3,2,4
816,ENZYMES-g344,Cheminformatics,23,78,0.3083,5,0,3.39,-0.03,58,2.52,5,0.623,0.611,3,2,5
817,ENZYMES-g345,Cheminformatics,27,116,0.3305,6,0,4.3,-0.03,103,3.81,8,0.564,0.52,3,2,4
818,ENZYMES-g346,Cheminformatics,39,134,0.1808,5,0,3.44,-0.03,87,2.23,5,0.519,0.521,3,2,4
819,ENZYMES-g347,Cheminformatics,42,174,0.2021,6,0,4.14,-0.02,88,2.1,4,0.337,0.306,3,2,4
820,ENZYMES-g348,Cheminformatics,42,170,0.1974,6,0,4.05,-0.02,76,1.81,5,0.315,0.278,3,2,4
821,ENZYMES-g349,Cheminformatics,64,236,0.1171,8,0,3.69,0,78,1.22,5,0.24,0.21,3,2,4
822,ENZYMES-g35,Cheminformatics,23,88,0.3478,5,0,3.83,-0.06,63,2.74,5,0.538,0.521,3,2,5
823,ENZYMES-g350,Cheminformatics,38,142,0.202,6,0,3.74,-0.03,55,1.45,3,0.333,0.267,3,1,4
824,ENZYMES-g351,Cheminformatics,22,84,0.3636,6,0,3.82,-0.06,31,1.41,4,0.243,0.261,3,1,4
825,ENZYMES-g352,Cheminformatics,9,16,0.4444,2,0,1.78,-0.27,0,0,0,0,0,1,0,2
826,ENZYMES-g353,Cheminformatics,26,102,0.3138,7,0,3.92,-0.04,74,2.85,7,0.52,0.493,3,2,5
827,ENZYMES-g354,Cheminformatics,19,84,0.4912,7,0,4.42,-0.09,39,2.05,4,0.387,0.262,3,1,4
828,ENZYMES-g355,Cheminformatics,66,224,0.1044,6,0,3.39,-0.03,20,0.3,2,0.081,0.067,3,1,3
829,ENZYMES-g356,Cheminformatics,27,112,0.3191,7,0,4.15,-0.06,91,3.37,9,0.541,0.5,3,2,5
830,ENZYMES-g357,Cheminformatics,34,124,0.221,6,0,3.65,-0.02,29,0.85,4,0.128,0.166,3,1,4
831,ENZYMES-g358,Cheminformatics,28,112,0.2963,6,0,4,-0.03,49,1.75,4,0.321,0.287,3,1,4
832,ENZYMES-g359,Cheminformatics,26,92,0.2831,5,0,3.54,-0.04,15,0.58,2.5,0.139,0.125,3,1,4
833,ENZYMES-g36,Cheminformatics,42,162,0.1882,8,0,3.86,-0.04,75,1.79,7,0.308,0.306,3,2,4
834,ENZYMES-g360,Cheminformatics,26,108,0.3323,7,0,4.15,-0.03,53,2.04,6,0.278,0.29,3,1,4
835,ENZYMES-g361,Cheminformatics,28,118,0.3122,6,0,4.21,-0.05,44,1.57,4.5,0.217,0.226,3,2,4
836,ENZYMES-g362,Cheminformatics,19,82,0.4795,6,0,4.32,-0.04,75,3.95,7,0.579,0.54,3,2,4
837,ENZYMES-g363,Cheminformatics,20,92,0.4842,6,0,4.6,-0.03,86,4.3,6,0.52,0.512,3,2,4
838,ENZYMES-g364,Cheminformatics,20,98,0.5158,7,0,4.9,-0.04,83,4.15,7,0.426,0.43,3,2,5
839,ENZYMES-g365,Cheminformatics,42,150,0.1742,6,0,3.57,-0.03,36,0.86,4,0.203,0.181,3,1,4
840,ENZYMES-g366,Cheminformatics,42,152,0.1765,6,0,3.62,-0.03,48,1.14,6,0.234,0.231,3,1,4
841,ENZYMES-g367,Cheminformatics,15,50,0.4762,5,0,3.33,-0.09,10,0.67,2,0.241,0.185,2,1,3
842,ENZYMES-g368,Cheminformatics,11,38,0.6909,5,0,3.45,-0.14,10,0.91,2,0.314,0.238,2,1,3
843,ENZYMES-g369,Cheminformatics,10,34,0.7556,4,0,3.4,-0.17,4,0.4,1.5,0.125,0.111,2,1,2
844,ENZYMES-g37,Cheminformatics,42,160,0.1858,7,0,3.81,-0.04,69,1.64,5,0.295,0.296,3,2,4
845,ENZYMES-g370,Cheminformatics,12,48,0.7273,6,0,4,-0.15,18,1.5,4,0.217,0.277,4,2,4
846,ENZYMES-g371,Cheminformatics,30,104,0.2391,6,0,3.47,-0.04,23,0.77,3,0.157,0.172,3,1,4
847,ENZYMES-g372,Cheminformatics,15,52,0.4952,5,0,3.47,-0.1,14,0.93,2,0.22,0.219,3,1,3
848,ENZYMES-g373,Cheminformatics,10,40,0.8889,5,0,4,-0.14,30,3,5,0.573,0.517,3,2,4
849,ENZYMES-g374,Cheminformatics,18,68,0.4444,6,0,3.78,-0.1,30,1.67,4.5,0.286,0.319,3,2,4
850,ENZYMES-g375,Cheminformatics,22,80,0.3463,6,0,3.64,-0.1,22,1,5,0.171,0.216,3,2,3
851,ENZYMES-g376,Cheminformatics,12,44,0.6667,5,0,3.67,-0.11,10,0.83,2,0.204,0.185,3,1,3
852,ENZYMES-g377,Cheminformatics,36,140,0.2222,6,0,3.89,-0.04,98,2.72,6,0.52,0.483,3,2,5
853,ENZYMES-g378,Cheminformatics,30,102,0.2345,6,0,3.4,-0.04,17,0.57,3,0.128,0.134,3,1,3
854,ENZYMES-g379,Cheminformatics,30,104,0.2391,6,0,3.47,-0.04,23,0.77,3,0.157,0.172,3,1,4
855,ENZYMES-g38,Cheminformatics,28,32,0.0847,1,0,1.14,0.14,0,0,0,0,0,1,0,2
856,ENZYMES-g380,Cheminformatics,36,122,0.1937,5,0,3.39,-0.03,50,1.39,5,0.303,0.338,3,2,5
857,ENZYMES-g381,Cheminformatics,33,116,0.2197,5,0,3.52,-0.04,85,2.58,5,0.611,0.599,3,2,4
858,ENZYMES-g382,Cheminformatics,48,188,0.1667,7,0,3.92,-0.01,77,1.6,6,0.257,0.266,3,1,5
859,ENZYMES-g383,Cheminformatics,27,104,0.2963,6,0,3.85,-0.04,78,2.89,6,0.528,0.503,3,2,4
860,ENZYMES-g384,Cheminformatics,27,108,0.3077,6,0,4,-0.04,81,3,7,0.51,0.482,3,2,4
861,ENZYMES-g385,Cheminformatics,16,58,0.4833,5,0,3.63,-0.1,22,1.38,4,0.365,0.297,3,1,3
862,ENZYMES-g386,Cheminformatics,7,28,1.3333,6,0,4,-0.14,27,3.86,7,0.629,0.628,3,2,4
863,ENZYMES-g387,Cheminformatics,16,56,0.4667,6,0,3.5,-0.07,27,1.69,4,0.385,0.36,3,2,3
864,ENZYMES-g388,Cheminformatics,35,128,0.2151,7,0,3.66,-0.02,68,1.94,7,0.39,0.37,3,2,4
865,ENZYMES-g389,Cheminformatics,28,110,0.291,6,0,3.93,-0.03,87,3.11,7,0.531,0.521,3,2,5
866,ENZYMES-g39,Cheminformatics,24,86,0.3116,6,0,3.58,-0.07,69,2.88,5,0.663,0.595,3,2,4
867,ENZYMES-g390,Cheminformatics,40,162,0.2077,6,0,4.05,-0.03,135,3.38,7,0.561,0.529,3,2,5
868,ENZYMES-g391,Cheminformatics,26,102,0.3138,5,0,3.92,-0.04,83,3.19,6,0.564,0.565,3,2,5
869,ENZYMES-g392,Cheminformatics,48,178,0.1578,7,0,3.71,-0.02,74,1.54,8,0.258,0.281,3,1,4
870,ENZYMES-g393,Cheminformatics,15,56,0.5333,5,0,3.73,-0.06,42,2.8,5,0.56,0.545,3,2,4
871,ENZYMES-g394,Cheminformatics,11,44,0.8,6,0,4,-0.06,39,3.55,6,0.582,0.574,3,2,5
872,ENZYMES-g395,Cheminformatics,50,196,0.16,7,0,3.92,-0.01,89,1.78,7,0.255,0.292,3,2,5
873,ENZYMES-g396,Cheminformatics,18,70,0.4575,6,0,3.89,-0.01,46,2.56,6,0.428,0.422,3,2,5
874,ENZYMES-g397,Cheminformatics,19,78,0.4561,6,0,4.11,-0.01,55,2.89,6,0.436,0.43,3,2,5
875,ENZYMES-g398,Cheminformatics,14,46,0.5055,4,0,3.29,-0.11,4,0.29,1.5,0.101,0.083,2,1,2
876,ENZYMES-g399,Cheminformatics,21,86,0.4095,6,0,4.1,-0.04,66,3.14,7,0.533,0.471,3,2,5
877,ENZYMES-g4,Cheminformatics,24,90,0.3261,5,0,3.75,-0.05,73,3.04,5,0.603,0.598,3,2,4
878,ENZYMES-g40,Cheminformatics,24,100,0.3623,7,0,4.17,-0.05,81,3.38,6,0.564,0.491,3,2,5
879,ENZYMES-g400,Cheminformatics,37,116,0.1742,6,0,3.14,-0.02,9,0.24,2,0.05,0.062,2,1,4
880,ENZYMES-g401,Cheminformatics,48,194,0.172,7,0,4.04,-0.03,75,1.56,5,0.216,0.229,3,2,5
881,ENZYMES-g402,Cheminformatics,25,102,0.34,7,0,4.08,-0.06,58,2.32,6,0.375,0.363,3,2,5
882,ENZYMES-g403,Cheminformatics,28,114,0.3016,6,0,4.07,-0.06,44,1.57,4,0.254,0.257,3,1,4
883,ENZYMES-g404,Cheminformatics,33,112,0.2121,4,0,3.39,-0.04,21,0.64,3,0.139,0.16,3,2,4
884,ENZYMES-g405,Cheminformatics,29,100,0.2463,4,0,3.45,-0.05,21,0.72,3,0.158,0.176,3,2,4
885,ENZYMES-g406,Cheminformatics,33,128,0.2424,6,0,3.88,-0.05,58,1.76,5,0.32,0.317,3,2,4
886,ENZYMES-g407,Cheminformatics,30,120,0.2759,5,0,4,-0.01,50,1.67,4,0.294,0.269,3,1,4
887,ENZYMES-g408,Cheminformatics,33,132,0.25,8,0,4,-0.05,97,2.94,10,0.448,0.46,3,2,5
888,ENZYMES-g409,Cheminformatics,32,120,0.2419,6,0,3.75,-0.05,61,1.91,8,0.36,0.359,3,2,4
889,ENZYMES-g41,Cheminformatics,47,190,0.1758,7,0,4.04,-0.01,110,2.34,5,0.387,0.356,3,2,5
890,ENZYMES-g410,Cheminformatics,28,124,0.328,7,0,4.43,-0.06,108,3.86,7.5,0.548,0.507,3,2,4
891,ENZYMES-g411,Cheminformatics,37,138,0.2072,6,0,3.73,-0.05,54,1.46,5,0.265,0.277,3,2,5
892,ENZYMES-g412,Cheminformatics,36,136,0.2159,6,0,3.78,-0.03,63,1.75,6,0.319,0.318,3,2,5
893,ENZYMES-g413,Cheminformatics,38,158,0.2248,7,0,4.16,-0.04,76,2,4,0.35,0.296,3,2,4
894,ENZYMES-g414,Cheminformatics,37,146,0.2192,7,0,3.95,-0.05,79,2.14,5,0.354,0.359,3,2,4
895,ENZYMES-g415,Cheminformatics,34,152,0.2709,6,0,4.47,-0.01,71,2.09,6,0.284,0.259,3,2,4
896,ENZYMES-g416,Cheminformatics,24,92,0.3333,6,0,3.83,-0.07,32,1.33,6.5,0.184,0.244,3,2,4
897,ENZYMES-g417,Cheminformatics,25,94,0.3133,5,0,3.76,-0.05,29,1.16,4,0.178,0.221,3,2,4
898,ENZYMES-g418,Cheminformatics,41,152,0.1854,5,0,3.71,-0.03,113,2.76,6,0.57,0.536,3,2,5
899,ENZYMES-g419,Cheminformatics,27,102,0.2906,7,0,3.78,-0.05,37,1.37,5,0.184,0.248,3,1,4
900,ENZYMES-g42,Cheminformatics,45,194,0.196,6,0,4.31,-0.01,113,2.51,7,0.341,0.331,3,2,5
901,ENZYMES-g420,Cheminformatics,26,94,0.2892,6,0,3.62,-0.08,16,0.62,4.5,0.087,0.131,3,2,3
902,ENZYMES-g421,Cheminformatics,25,98,0.3267,6,0,3.92,-0.06,41,1.64,6.5,0.233,0.283,3,2,4
903,ENZYMES-g422,Cheminformatics,27,114,0.3248,7,0,4.22,-0.05,56,2.07,5.5,0.261,0.289,3,2,5
904,ENZYMES-g423,Cheminformatics,20,76,0.4,5,0,3.8,-0.08,29,1.45,4,0.24,0.269,3,1,4
905,ENZYMES-g424,Cheminformatics,40,132,0.1692,7,0,3.3,-0.05,34,0.85,3,0.169,0.183,3,1,4
906,ENZYMES-g425,Cheminformatics,21,78,0.3714,6,0,3.71,-0.06,14,0.67,3,0.122,0.131,3,1,4
907,ENZYMES-g426,Cheminformatics,19,66,0.386,5,0,3.47,-0.06,54,2.84,5,0.7,0.643,3,2,4
908,ENZYMES-g427,Cheminformatics,36,128,0.2032,5,0,3.56,-0.03,114,3.17,5,0.759,0.659,3,2,4
909,ENZYMES-g428,Cheminformatics,32,114,0.2298,6,0,3.56,-0.05,41,1.28,4,0.249,0.272,3,2,4
910,ENZYMES-g429,Cheminformatics,28,108,0.2857,6,0,3.86,-0.05,49,1.75,4,0.346,0.306,3,2,4
911,ENZYMES-g43,Cheminformatics,45,190,0.1919,6,0,4.22,-0.01,104,2.31,7,0.334,0.321,3,2,5
912,ENZYMES-g430,Cheminformatics,37,114,0.1712,7,0,3.08,-0.07,17,0.46,5,0.056,0.121,3,1,4
913,ENZYMES-g431,Cheminformatics,18,74,0.4837,6,0,4.11,-0.04,69,3.83,7,0.604,0.585,3,2,4
914,ENZYMES-g432,Cheminformatics,19,78,0.4561,5,0,4.11,-0.04,69,3.63,5,0.568,0.556,3,2,5
915,ENZYMES-g433,Cheminformatics,22,92,0.3983,6,0,4.18,-0.03,81,3.68,7,0.555,0.533,3,2,5
916,ENZYMES-g434,Cheminformatics,43,140,0.155,5,0,3.26,-0.01,62,1.44,4,0.31,0.35,3,2,4
917,ENZYMES-g435,Cheminformatics,24,92,0.3333,7,0,3.83,-0.05,38,1.58,6,0.242,0.271,3,2,4
918,ENZYMES-g436,Cheminformatics,15,66,0.6286,7,0,4.4,-0.06,52,3.47,7,0.488,0.452,3,2,4
919,ENZYMES-g437,Cheminformatics,14,46,0.5055,5,0,3.29,-0.05,14,1,4,0.205,0.264,3,1,3
920,ENZYMES-g438,Cheminformatics,48,198,0.1755,9,0,4.13,-0.03,96,2,10,0.287,0.257,3,2,5
921,ENZYMES-g439,Cheminformatics,46,198,0.1913,9,0,4.3,-0.03,99,2.15,12,0.26,0.253,3,2,5
922,ENZYMES-g44,Cheminformatics,45,190,0.1919,6,0,4.22,-0.01,104,2.31,7,0.334,0.321,3,2,5
923,ENZYMES-g440,Cheminformatics,26,100,0.3077,7,0,3.85,-0.06,36,1.38,5,0.207,0.231,3,2,4
924,ENZYMES-g441,Cheminformatics,25,112,0.3733,8,0,4.48,-0.04,91,3.64,10,0.509,0.429,3,2,5
925,ENZYMES-g442,Cheminformatics,44,190,0.2008,9,0,4.32,-0.04,102,2.32,9,0.291,0.277,3,2,5
926,ENZYMES-g443,Cheminformatics,39,152,0.2051,7,0,3.9,-0.03,51,1.31,4,0.238,0.213,3,2,5
927,ENZYMES-g444,Cheminformatics,39,158,0.2132,8,0,4.05,-0.04,57,1.46,4,0.267,0.217,3,2,4
928,ENZYMES-g445,Cheminformatics,27,102,0.2906,8,0,3.78,-0.03,38,1.41,7,0.236,0.236,3,2,5
929,ENZYMES-g446,Cheminformatics,26,116,0.3569,7,0,4.46,-0.04,76,2.92,7,0.391,0.35,3,2,4
930,ENZYMES-g447,Cheminformatics,25,112,0.3733,7,0,4.48,-0.03,80,3.2,9,0.397,0.381,4,2,4
931,ENZYMES-g448,Cheminformatics,39,146,0.197,7,0,3.74,-0.03,40,1.03,4,0.205,0.174,3,1,5
932,ENZYMES-g449,Cheminformatics,26,114,0.3508,7,0,4.38,-0.03,72,2.77,7,0.363,0.344,3,2,4
933,ENZYMES-g45,Cheminformatics,46,194,0.1874,6,0,4.22,-0.01,101,2.2,7,0.318,0.304,3,2,4
934,ENZYMES-g450,Cheminformatics,26,116,0.3569,8,0,4.46,-0.04,88,3.38,10,0.455,0.4,3,2,5
935,ENZYMES-g451,Cheminformatics,26,102,0.3138,6,0,3.92,-0.06,51,1.96,4,0.391,0.336,3,2,4
936,ENZYMES-g452,Cheminformatics,34,108,0.1925,5,0,3.18,-0.02,29,0.85,3,0.181,0.23,3,1,4
937,ENZYMES-g453,Cheminformatics,20,90,0.4737,7,0,4.5,-0.07,60,3,7,0.445,0.357,3,2,4
938,ENZYMES-g454,Cheminformatics,20,78,0.4105,8,0,3.9,-0.02,35,1.75,7,0.269,0.28,3,1,4
939,ENZYMES-g455,Cheminformatics,19,74,0.4327,6,0,3.89,-0.03,26,1.37,5,0.267,0.228,3,2,4
940,ENZYMES-g456,Cheminformatics,18,68,0.4444,5,0,3.78,-0.04,17,0.94,3,0.219,0.175,3,1,4
941,ENZYMES-g457,Cheminformatics,33,84,0.1591,6,0,2.55,-0.03,9,0.27,3,0.034,0.108,2,1,4
942,ENZYMES-g458,Cheminformatics,15,58,0.5524,6,0,3.87,-0.1,27,1.8,6,0.303,0.325,3,2,4
943,ENZYMES-g459,Cheminformatics,34,154,0.2745,7,0,4.53,-0.04,73,2.15,5,0.27,0.265,3,1,4
944,ENZYMES-g46,Cheminformatics,44,190,0.2008,7,0,4.32,-0.01,104,2.36,6,0.32,0.311,3,2,5
945,ENZYMES-g460,Cheminformatics,28,130,0.3439,7,0,4.64,-0.04,73,2.61,6,0.296,0.284,3,2,5
946,ENZYMES-g461,Cheminformatics,34,158,0.2816,8,0,4.65,-0.01,140,4.12,8,0.483,0.465,4,2,5
947,ENZYMES-g462,Cheminformatics,15,60,0.5714,6,0,4,-0.09,39,2.6,6,0.388,0.429,3,2,4
948,ENZYMES-g463,Cheminformatics,14,52,0.5714,5,0,3.71,-0.07,37,2.64,6,0.483,0.487,3,2,4
949,ENZYMES-g464,Cheminformatics,20,90,0.4737,7,0,4.5,-0.07,60,3,7,0.445,0.357,3,2,4
950,ENZYMES-g465,Cheminformatics,52,198,0.1493,6,0,3.81,-0.02,65,1.25,4,0.231,0.224,3,1,4
951,ENZYMES-g466,Cheminformatics,20,76,0.4,6,0,3.8,-0.03,26,1.3,4,0.193,0.232,3,1,4
952,ENZYMES-g467,Cheminformatics,20,82,0.4316,6,0,4.1,-0.02,44,2.2,5,0.308,0.331,3,1,4
953,ENZYMES-g468,Cheminformatics,20,74,0.3895,6,0,3.7,-0.03,20,1,4,0.137,0.187,3,1,3
954,ENZYMES-g469,Cheminformatics,17,60,0.4412,5,0,3.53,-0.06,45,2.65,4,0.582,0.592,3,2,4
955,ENZYMES-g47,Cheminformatics,30,102,0.2345,5,0,3.4,-0.03,71,2.37,4,0.583,0.573,3,2,4
956,ENZYMES-g470,Cheminformatics,12,48,0.7273,5,0,4,-0.14,34,2.83,5,0.556,0.557,3,2,4
957,ENZYMES-g471,Cheminformatics,24,74,0.2681,4,0,3.08,-0.09,7,0.29,2,0.063,0.089,3,1,3
958,ENZYMES-g472,Cheminformatics,46,186,0.1797,6,0,4.04,-0.01,180,3.91,8,0.67,0.596,3,2,5
959,ENZYMES-g473,Cheminformatics,13,52,0.6667,6,0,4,-0.06,48,3.69,6,0.628,0.585,3,2,4
960,ENZYMES-g474,Cheminformatics,24,90,0.3261,7,0,3.75,-0.04,54,2.25,6,0.341,0.388,3,2,4
961,ENZYMES-g475,Cheminformatics,12,46,0.697,5,0,3.83,-0.12,31,2.58,5,0.528,0.534,3,2,4
962,ENZYMES-g476,Cheminformatics,12,48,0.7273,5,0,4,-0.09,51,4.25,7,0.625,0.689,4,3,5
963,ENZYMES-g477,Cheminformatics,14,52,0.5714,5,0,3.71,-0.06,42,3,6,0.567,0.583,3,2,5
964,ENZYMES-g478,Cheminformatics,20,76,0.4,6,0,3.8,-0.03,23,1.15,4,0.217,0.204,3,1,4
965,ENZYMES-g479,Cheminformatics,28,98,0.2593,4,0,3.5,-0.03,14,0.5,2,0.113,0.114,3,1,4
966,ENZYMES-g48,Cheminformatics,32,114,0.2298,5,0,3.56,-0.04,82,2.56,6,0.563,0.577,3,2,4
967,ENZYMES-g480,Cheminformatics,24,76,0.2754,4,0,3.17,-0.09,13,0.54,3,0.09,0.153,3,2,4
968,ENZYMES-g481,Cheminformatics,12,48,0.7273,6,0,4,-0.06,45,3.75,6,0.653,0.584,3,2,4
969,ENZYMES-g482,Cheminformatics,26,88,0.2708,5,0,3.38,-0.05,25,0.96,4,0.163,0.219,3,2,3
970,ENZYMES-g483,Cheminformatics,22,92,0.3983,6,0,4.18,-0.04,53,2.41,6,0.306,0.356,3,2,4
971,ENZYMES-g484,Cheminformatics,60,160,0.0904,6,0,2.67,-0.01,21,0.35,2,0.153,0.126,2,1,4
972,ENZYMES-g485,Cheminformatics,39,144,0.1943,7,0,3.69,-0.04,54,1.38,5,0.243,0.262,3,2,4
973,ENZYMES-g486,Cheminformatics,26,102,0.3138,6,0,3.92,-0.06,40,1.54,5,0.197,0.255,4,2,3
974,ENZYMES-g487,Cheminformatics,15,54,0.5143,6,0,3.6,-0.07,45,3,7,0.698,0.652,3,2,4
975,ENZYMES-g488,Cheminformatics,25,84,0.28,5,0,3.36,-0.04,60,2.4,6,0.588,0.583,3,2,4
976,ENZYMES-g489,Cheminformatics,35,122,0.205,5,0,3.49,-0.03,84,2.4,5,0.537,0.542,3,2,4
977,ENZYMES-g49,Cheminformatics,33,128,0.2424,5,0,3.88,-0.03,112,3.39,7,0.596,0.609,3,2,4
978,ENZYMES-g490,Cheminformatics,35,134,0.2252,6,0,3.83,-0.05,100,2.86,7,0.552,0.521,3,2,4
979,ENZYMES-g491,Cheminformatics,38,140,0.1991,5,0,3.68,-0.03,120,3.16,6,0.649,0.609,3,2,4
980,ENZYMES-g492,Cheminformatics,38,158,0.2248,7,0,4.16,-0.01,120,3.16,7,0.51,0.444,3,2,5
981,ENZYMES-g493,Cheminformatics,33,136,0.2576,6,0,4.12,-0.03,127,3.85,8,0.613,0.585,3,2,4
982,ENZYMES-g494,Cheminformatics,32,122,0.246,5,0,3.81,-0.03,96,3,6,0.547,0.536,3,2,5
983,ENZYMES-g495,Cheminformatics,42,154,0.1789,6,0,3.67,-0.02,114,2.71,5,0.564,0.535,3,2,4
984,ENZYMES-g496,Cheminformatics,42,152,0.1765,6,0,3.62,-0.03,104,2.48,6,0.529,0.505,3,2,4
985,ENZYMES-g497,Cheminformatics,41,156,0.1902,5,0,3.8,-0.03,116,2.83,6,0.528,0.518,3,2,4
986,ENZYMES-g498,Cheminformatics,40,144,0.1846,5,0,3.6,-0.02,105,2.63,5,0.563,0.538,3,2,5
987,ENZYMES-g499,Cheminformatics,38,152,0.2162,7,0,4,-0.02,120,3.16,6,0.547,0.49,3,2,5
988,ENZYMES-g5,Cheminformatics,23,90,0.3557,6,0,3.91,-0.04,81,3.52,7,0.662,0.591,3,2,4
989,ENZYMES-g50,Cheminformatics,9,30,0.8333,4,0,3.33,-0.15,25,2.78,3.5,0.741,0.758,3,2,4
990,ENZYMES-g500,Cheminformatics,43,196,0.2171,6,0,4.56,-0.01,159,3.7,7,0.478,0.434,4,2,4
991,ENZYMES-g501,Cheminformatics,66,160,0.0746,6,0,2.42,0,6,0.09,2,0.01,0.04,3,1,3
992,ENZYMES-g502,Cheminformatics,36,146,0.2317,6,0,4.06,-0.03,118,3.28,7,0.519,0.506,3,2,5
993,ENZYMES-g503,Cheminformatics,46,166,0.1604,6,0,3.61,-0.03,78,1.7,5,0.389,0.35,3,2,4
994,ENZYMES-g504,Cheminformatics,66,240,0.1119,7,0,3.64,-0.02,22,0.33,3,0.081,0.063,3,1,4
995,ENZYMES-g505,Cheminformatics,21,86,0.4095,6,0,4.1,-0.05,59,2.81,5.5,0.469,0.437,3,2,4
996,ENZYMES-g506,Cheminformatics,22,98,0.4242,6,0,4.45,-0.03,74,3.36,6,0.445,0.42,3,2,4
997,ENZYMES-g507,Cheminformatics,21,92,0.4381,6,0,4.38,-0.04,77,3.67,6,0.488,0.481,3,2,4
998,ENZYMES-g508,Cheminformatics,21,96,0.4571,6,0,4.57,-0.04,77,3.67,6,0.444,0.44,3,2,4
999,ENZYMES-g509,Cheminformatics,41,176,0.2146,6,0,4.29,-0.01,65,1.59,3,0.246,0.212,3,1,5
1000,ENZYMES-g51,Cheminformatics,27,94,0.2678,6,0,3.48,-0.07,35,1.3,3,0.377,0.302,3,2,4
1001,ENZYMES-g510,Cheminformatics,29,130,0.3202,7,0,4.48,-0.03,104,3.59,8,0.484,0.448,4,2,5
1002,ENZYMES-g511,Cheminformatics,30,134,0.308,7,0,4.47,-0.03,101,3.37,8,0.475,0.421,3,2,5
1003,ENZYMES-g512,Cheminformatics,30,136,0.3126,7,0,4.53,-0.03,107,3.57,8,0.484,0.43,3,2,4
1004,ENZYMES-g513,Cheminformatics,41,184,0.2244,6,0,4.49,-0.03,138,3.37,8,0.453,0.416,3,2,5
1005,ENZYMES-g514,Cheminformatics,37,176,0.2643,7,0,4.76,-0.03,153,4.14,7,0.488,0.441,3,2,5
1006,ENZYMES-g515,Cheminformatics,26,102,0.3138,7,0,3.92,-0.05,75,2.88,6,0.539,0.466,3,2,4
1007,ENZYMES-g516,Cheminformatics,37,142,0.2132,6,0,3.84,-0.02,120,3.24,6,0.613,0.566,3,2,5
1008,ENZYMES-g517,Cheminformatics,50,178,0.1453,5,0,3.56,-0.02,22,0.44,2,0.118,0.094,3,1,4
1009,ENZYMES-g518,Cheminformatics,27,112,0.3191,5,0,4.15,-0.04,92,3.41,6,0.551,0.514,3,2,5
1010,ENZYMES-g519,Cheminformatics,34,154,0.2745,7,0,4.53,-0.03,120,3.53,8,0.434,0.436,3,2,5
1011,ENZYMES-g52,Cheminformatics,39,170,0.2294,7,0,4.36,-0.01,156,4,9,0.551,0.517,3,2,5
1012,ENZYMES-g520,Cheminformatics,32,148,0.2984,7,0,4.63,-0.03,123,3.84,8,0.448,0.452,3,2,5
1013,ENZYMES-g521,Cheminformatics,35,158,0.2655,7,0,4.51,-0.02,133,3.8,8,0.477,0.462,3,2,5
